"","AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
"d__Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus",269,0,8,0,0,0,34,0,34,0
"d__Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma",19,0,0,0,0,0,0,0,0,0
"d__Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus",25,0,0,16,0,0,0,0,0,0
"d__Bacteria; Firmicutes; Bacilli; RF39; RF39; RF39",2623,530,285,988,891,638,487,751,75,325
"d__Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Jeotgalicoccus",0,0,0,0,0,23,0,0,0,0
"d__Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Salinicoccus",0,0,0,0,0,42,0,0,0,0
"d__Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R-7_group",2240,747,4262,1827,1265,1678,949,1142,1221,595
"d__Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured",25,0,0,15,0,23,0,0,8,4
"d__Bacteria; Firmicutes; Clostridia; Clostridia_UCG-014; Clostridia_UCG-014; Clostridia_UCG-014",9203,554,1370,1324,1694,1489,1409,1581,708,129
"d__Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; Clostridia_vadinBB60_group; Clostridia_vadinBB60_group",2034,1851,1044,1874,485,2316,1148,885,1681,13700
"d__Bacteria; Firmicutes; Clostridia; Clostridia; Hungateiclostridiaceae; Saccharofermentans",0,323,0,0,0,0,0,0,0,0
"d__Bacteria; Firmicutes; Clostridia; Eubacteriales; Eubacteriaceae; uncultured",80,0,130,0,6,0,266,36,1955,31
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Defluviitaleaceae; Defluviitaleaceae_UCG-011",15,25,8,35,0,11,0,14,25,131
"d__Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; [Eubacterium]_eligens_group",1994,0,0,28,0,736,0,0,273,41
