"AND1_AL_S67","AND1_AY_S72","AND2_AL_S68","AND2_AY_S73","AND3_AL_S69","AND3_AY_S74","AND4_AL_S70","AND4_AY_S75","AND5_AL_S71","AND5_AY_S76"
0,0,0,0,0,4,0,0,0,0
0,1881,23,0,0,0,1525,0,0,0
1862,292,4763,16,172,0,0,0,0,0
0,0,0,0,0,0,0,596,0,0
226,0,0,411,0,713,266,0,0,0
0,0,0,57,0,0,0,0,0,0
0,0,0,0,0,0,0,710,0,0
774,0,0,240,0,267,237,0,0,0
0,612,616,0,0,0,0,0,0,0
42,68,152,0,0,0,0,0,0,0
0,0,0,0,0,163,84,0,0,0
0,424,664,338,0,0,0,80,0,0
21,0,0,0,185,40,113,0,0,0
1550,0,0,0,0,130,0,0,0,0
0,328,239,0,0,0,0,0,0,0
0,0,0,0,0,41,0,49,0,0
0,0,0,0,439,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0
0,0,0,188,0,0,0,0,0,0
868,1416,1214,80,0,342,264,756,0,0
712,0,0,81,0,309,199,0,0,0
0,0,0,0,0,0,0,122,0,0
1074,0,0,17,0,0,0,0,0,0
99,0,0,62,0,42,0,145,0,0
0,0,0,0,55,0,0,0,0,0
0,0,38,0,0,0,0,0,0,0
0,0,278,0,0,0,0,0,0,0
118,15,33,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0
0,206,16,0,0,42,6,0,0,0
0,76,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,35,0,0
0,24,0,0,0,0,0,0,0,0
0,42,30,0,0,0,0,0,0,0
0,55,26,0,0,0,0,0,0,0
0,46,0,0,413,0,0,0,58,0
0,0,0,0,0,0,0,0,0,13
0,64,0,0,0,115,0,0,0,0
0,16,0,12,0,0,0,44,15,356
0,8,0,0,0,0,0,0,0,0
0,0,0,0,0,344,0,0,0,0
0,37,0,0,0,0,0,0,0,0
0,0,0,0,0,27,0,0,0,0
10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,54
0,0,0,0,0,350,0,0,0,0
0,0,9,0,0,0,0,0,0,0
0,235,0,0,0,0,0,0,0,0
0,0,0,0,0,173,0,0,0,0
0,35,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0
0,1253,0,0,13,0,0,0,0,0
0,0,0,4,0,0,0,0,0,45
0,26,0,0,0,0,0,0,0,0
0,0,0,0,0,15,0,0,0,0
0,0,0,32,0,0,0,0,0,0
0,0,0,19,0,0,0,0,0,0
0,161,0,0,0,0,0,0,0,0
0,130,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,26,0
0,20,0,0,0,0,0,0,0,0
0,149,0,0,0,0,0,0,0,0
0,0,0,0,0,70,0,0,0,0
10,0,0,0,0,0,9,0,0,0
0,0,0,12,0,12,0,0,0,16
0,0,0,0,0,0,0,0,0,446
0,0,0,0,6,0,0,0,0,0
0,54,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,55
0,37,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
0,0,0,47,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0
0,11,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,76
0,0,0,42,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
0,0,0,0,12,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0
0,0,0,14,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,20,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,23
0,0,0,0,0,108,0,0,0,0
0,105,0,0,0,0,0,0,0,0
0,0,0,0,0,28,0,0,0,0
0,0,0,12,0,0,0,0,0,0
0,0,0,250,0,0,0,0,0,0
0,0,0,0,0,209,0,0,0,0
0,0,0,0,0,8,0,21,0,0
0,0,0,0,0,0,0,10,0,0
0,0,0,0,6,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0
10,12,0,0,0,0,0,0,0,0
0,25,0,27,0,0,0,0,0,0
0,0,0,31,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0
0,0,0,0,0,60,0,0,0,0
0,0,0,0,11,0,0,0,0,0
0,79,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0
0,278,0,0,0,0,0,0,0,0
0,37,0,0,0,0,0,0,0,0
0,0,0,0,27,0,0,0,0,0
0,0,0,19,0,0,0,0,0,0
0,69,0,0,0,68,0,0,0,137
0,21,0,0,0,0,0,0,0,0
0,128,0,46,0,0,56,0,0,0
0,69,0,60,37,0,0,33,0,0
0,78,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0
0,55,0,0,0,0,0,0,0,0
0,22,0,0,0,73,0,0,0,0
14,9,0,0,0,0,0,0,0,0
0,84,0,0,0,0,0,0,0,168
0,59,0,0,0,0,0,0,0,0
0,0,0,39,0,0,0,0,0,0
0,0,0,0,0,712,0,0,0,0
0,0,0,0,0,0,0,14,0,0
0,85,73,0,0,244,0,0,0,479
187,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,40,0,0
294,0,0,4214,3377,336,145,1474,0,16
677,205,0,1028,0,1585,146,1322,388,0
0,0,0,0,0,0,0,773,0,0
0,0,0,1670,0,0,0,0,0,0
0,0,0,0,0,0,0,15,0,0
0,0,0,0,0,0,0,1015,0,0
89,54,0,0,65,0,26,0,25,0
616,25,131,563,232,0,77,1175,157,0
0,0,0,0,0,0,0,435,0,0
0,0,0,0,78,0,0,0,0,0
279,0,112,0,100,0,77,0,0,0
116,0,0,0,0,0,40,0,42,0
28,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,37,0,103
0,0,0,13,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0
0,0,0,158,0,0,0,0,0,0
0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,29,0,0,0
0,0,0,0,35,0,0,0,0,0
19,0,0,0,0,0,0,25,0,0
0,0,0,0,0,0,0,43,0,0
0,0,0,0,0,0,94,0,0,0
0,0,0,40,0,0,0,0,0,0
0,0,0,0,0,0,0,84,0,0
0,0,76,0,0,0,0,29,0,0
2808,0,82,0,155,99,0,0,0,0
0,0,0,0,32,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0
0,0,0,14,0,0,0,23,0,0
30,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,22,0
75,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0
0,0,23,0,0,0,0,0,0,0
0,0,0,18,0,0,0,0,0,0
0,0,0,0,0,0,15,0,0,0
0,0,0,31,0,0,0,0,0,0
0,13,92,0,37,0,0,25,104,0
0,0,0,0,0,0,156,0,0,0
0,0,20,0,0,0,0,0,0,0
0,0,0,19,0,71,0,170,0,0
120,0,69,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
0,0,0,0,16,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0
0,0,0,0,0,0,0,71,0,0
18,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0
82,0,0,0,0,0,46,0,0,0
121,0,0,0,0,0,0,0,0,0
